ahlan.	hello
makay7ssch brasou mzyan.	He is not feeling well.
maghadich yr7el mn l mdina.	He is not moving out side the city.
maghadich yji l 7fla dyal 3id miladi.	He will not come to my birthday party.
l mouderrib maraDich .	The coach is not satisfied.
l33ab malabesch l kask.	The player is not wearing his helmet.
w9ef 3la sba3 rjli8.	He stood on his tiptoes.
howwa 7ell lbab.	He opened the door.
kay7ell l 9er3a bchwiyya.	He opens the jar carefully.
kaybki .	He is crying.
kaybtasem.	He is smililng.
kayd7ek .	He is laughing.
8owwa na3es.	He is sleeping.
fte7 ga3 l8adaya.	He opened al the gifts.
kan kayyakoul o kay8Der.	He was eating and talking.
kaytsenna ttran.	He is waiting for the train.
ttran m3eTTel bzzaf.	The train is late.
l kelb dyalo kaynbe7 bzzaf.	His dog barks a lot.
wach kayl3eb ttinis.	Does he play tennis.
wach kayl3eb l koura.	Does he play football.
kay8Der b longli f lkhdma.	He speaks English at work.
ma3ndouch flous daba.	He has no money for the moment.
makaysme3ch liyya.	He doesn't listen to me.
makay8Derch m3ya.	He doesn't talk to me.
8owwa mriD.	He is sick.
wach kay8Der bzzaf.	Does he talk alot.
wach kaychreb atay.	Does he drinlk tea?.
3ndo ttamarin dyal mdrassa khsso ydir8oum.	He has schoolwork to do.
ttran ghaymchi mn 8na l 3chra dyal dd9ay9.	The train leaves in 10 minutes.
kherrej m3a8 zzbel.	He takes out the trash.
makay9rach n8ar ttnin.	He doesn't study on monday.
kay3oum koul Sba7.	He swims every morning.
l9raya ghadi tbda ssimana jjayya.	The course starts next week.
makayghselch l mma3en.	He doesn't wash the dishes.
dima kaynsa bzTamou.	He always forgets his purse.
ma3ndouch ddrari.	He doesn't have children.
maghadich ymchi l mdraSa ghdda.	He won't go to school tomorrow.
kay8Der bzzerba.	He talks very fast.
kaySbben.	He does the laundry.
kayde99 f lbab.	He is knocking the door.
koulchi wajed lel7efla.	Everything is ready for the party.
7tta wa7ed maghadi yji moura8.	No one will come after him.
mcha kaySeyyed.	He went fishing.
m3gaz bzzaf.	He is very lazy.
ghadi ybghi y3awnek.	He would like to help you.
ghadi yjib lraSo 98wa.	He will get himself a coffe.
makaymchich l laSal.	He doesn't go to the gym.
kayt3llem longli bbou7dou.	He is learning English by himself.
makay9oulch l7a9i9a.	he isn' telling the truth.
8owwa li 9tlou.	He killed him.
8owwa machi mou8ndis.	He is not an engeneer.
kay3jbo yrSem bbou7dou.	He likes to paint by himself.
maghadich yji m3aya.	He will not come with me.
8owwa fi3lan m7taj lchi wa7ed.	He really need someone.
kay9der y8Der tlata d lloughat.	He can speak three languages.
kay3ref y3zef l ppyano.	He can play the piano.
kay9ra ktab.	He is reading a book.
kay3jbo yl3b lkora.	He likes to play soccer.
ghadi ymchi l b7er.	He is going to the beach.
kaychreb kas dyal lma.	He drinks a glass of water.
kat3jbo lppidza.	He likes pizza.
ghadi lddar.	He is going home.
kayghni oghniyya.	He is singing a song.
kaykteb risala.	He is writing a letter.
kaydewwech.	He takes a shower.
mcha yt9dda .	He went shopping.
kaysme3 lmouSi9a .	He is lisening to music.
kaytferej f ttelfaza.	He is watching TV.
n3es mzyan.	He slept well.
khrej ytmchcha .	He went for a walk.
ra8 mtekki chwiyya.	He is taking a nap.
ra8 dayer lppiknik.	He is having a picnic.
kayn99i bitou.	He is cleaning his room.
kay3yyet l Sa7bo.	He is calling his friend.
kayyakol sondwitch.	He is eating a sandwich.
kayl3b l karTa.	He is playing cards.
kayjri f jjerDa.	He is running in the park.
kaychouf ghouroub chchams.	He is watching the sunset.
ched Taxi.	He takes a Taxi.
kaykteb 9iSSa.	He writes a story.
kayl3b m3a l 9TTa.	He plays with the cat.
sle7 TTomobil.	He fixed the car.
mcha l met7ef.	He went to the museum.
dar ttamarin dyalo.	He did his homework.
mcha 3nd TTbib.	He went to the doctor.
dar chewwaya.	He had a barbecue.
kayt9dda mn l internet.	He went shopping online.
3eyeT lwalida dyalo.	He called his mom.
kan 3ndo jtima3.	He had a meeting.
mcha l 7adi9at l 7ayawanat.	He went to the zoo.
tferrej f brnamaj wata2i9i.	He watched a documentory.
mcha ytferrj f sketch.	He went to a comedy show.
kan kay8Der m3a lmoudir dyalo.	He had a conversation with his boss.
mcha l3amal khayri.	He went to a charity event.
mcha l marchi dyal lbal.	He went to a flea market.
kannakol kokiz.	I eat cookies.
mcha ytferrj f 3ard l 2azya2.	He went to a fashion show.
kteb wa7ed 9aSida chi3riyya.	He wrote a poetry.
mcha l mt7ef l 3ouloum.	He went to a science museum.
tferrej f brnamaj dyal TTabkh.	He watched a cooking show.
mcha l 7emmam.	He went to a spa.
mcha lwa7ed nnadi dyal l7iyaka.	He went to a knitting club.
8owwa fer7an.	He is happy.
8owwa Twil.	He is tall.
8owwa 9Sir.	He is short.
8owwa R9i9.	He is skinny.
kayjri bzzerba.	He runs fast.
kay3jbo la glaS.	He like ice cream.
kaTTi7 chchta 3la berra.	It's raining out side.
lyoum n8ar mchemmech.	Today is a sunny day.
3ndo tomobil.	He has a car.
kaybghi y9ra.	He loves to read.
teyyeb l3cha.	He cooked dinner.
mcha ychri l7wayej.	He went shopping for clothes.
kaytferrej f ttelfaza nn8ar kaml.	He watched TV all day.
mcha b lppikala l khdma.	He rode hisbike to work.
3am f la ppisin.	He swam in the pool.
chte7 f l 3ers.	He danced at the wedding.
jra f l maraTon.	He run a marathon.
safer l oroppa.	He traveled to Europe.
mcha ykheyym f jjbal.	He went comping in the mountains.
dda wlado l ssinima.	He took his kids to the cinema.
sbegh bitou b loun jdid .	He painted his room a new color.
mcha zar jddou o jddatou.	He visited his grandparents.
khmmel bitou.	He cleaned his room.
mcha 3nd ddontist.	He went to the dentist.
mcha l mktaba.	He went to the library.
chaf ghouroub chchams.	He warched the sunset.
khda douch skhoun.	He took a hot shower.
9ra ktab f jjerda.	He read a book in the park.
t3ellem wSfa jdida.	He learned a new recipe.
8a8owwa 8na.	He is here.
8owwa mousi9i.	He is a musicien.
kay3jbo ySeyyed.	He enjoys fishing.
kay3jbo ytmchcha f TTabi3a.	He enjoys natural walks.
m7taj rra7a.	He needs a break.
kay3awen nnas.	He helps other.
kayt3llem 7wayj jdad.	He learns new things.
kayyakoul bzzerba.	He eats quickly.
ghsel yddik.	Wash your hands.
wach ghsel wj8o?.	Did he wash his face?.
8ad derri weld chkoun?.	Whose kid is this?.
chno wa9e3?.	What is going on?.
chouf ssma.	Look at the sky.
sedd lmaryo.	Close the wardrobe.
fin Sa7bek?.	Where is your friend?.
mat3eTTelch 3la l 7iSSa.	Don't be late for the class.
machi bSSe7.	It is not true.
sir n3es f blaStek.	Go and sleep on your bed.
7tarem nnas li kber mnnek.	Respect your elders.
fin 8oma 7wayji?.	Where are my clothes?.
l9amar kaylme3.	The moon is shining.
kaykhaf mn DDlam.	He is afraid of darknes.
t9der TTi7.	You may fall.
khaSSek t8edden.	You have to be calm down.
tsellef ktab mn lmktaba.	He borrowed a book from the library.
sir w 7Der l 7ISSa.	Go and attend the class.
8ad lmar7ala moumilla.	This period is boring.
magahdich ymchi l7tta blaSa.	He is not going anywhere.
ttmrin sa8l bzzaf.	The homework is very easy.
y9der yddik nn3as.	you may fall asleep.
kayji lmDraSa b TTobis.	He comes to school by bus.
kayberzTni.	He is disturbing me.
bgha ykoun naje7.	He wants to be succeful.
sme3 l nnas li kber mnnk.	Listen to your elders.
maddirch SSDa3.	Don't make noise.
matb9ach t8Der f l9iSm.	Stop talking in the classroom.
kifach tjer2ti t9ol 8adchchi.	How dare you say that?.
bgha yl3eb m3a S7abou.	He wants to play with his friends.
t3eTTel 3la lmdraSa.	He is getting late for school.
bBa8 dima kaywSSlou l mdraSa.	His father always drops him at school.
sa7bi tgheyyeb lyoum.	My friend is abscent today.
mse7 Sbboura.	Clean the blackboard.
ghdda ghatkoun 3otla.	Tomorrow will be a holiday.
fin 8owwa SbbaTI.	Where are my shoes?.
3ndek SSe7.	You are right.
9TTe3 che3rou o Dfarou.	He cuts his hair and nails.
l9e8wa moDirra bSSe77a.	coffee is unhealthy.
tTir gales fo9 lghoSn.	The bird is sitting on the branch.
khli 8adchchi sirr.	Keep this a secret.
sedd m3ak lbab 3afak.	close the door please.
sir nichan o dor 3la lliSer.	Go straight, then took the first left.
chnou mberzTek?.	What i troubling you?.
9erreb liyya.	Come closer to me.
kan kayghsel lwlado.	He was bathing his kids.
l2ostad dyalna kay3ref y9erri mzyan.	Our teacher is very good at teaching.
fin 8owwa lktab dyali?.	Where is my book?.
kmmel fTorek.	Complete your breakfast.
fkker f raSek.	Think about yourself.
baba8 rajoul a3mal.	His father is a businessman.
ch7al dyal lwe9t ghadi yb9a 8na?.	How long will he stay here?.
39el 3la 8Derti.	Mark my words.
ma9derch yf8em.	He can not understand.
makay8emmch.	It doesn't matter.
8adchchi machi m39oul.	This is not fair.
f 2a9rab wa9t moumkin.	As soon as possible.
ntchawfou.	See you.
l9aDiyya bayna.	The matter is clear.
chnou 9al?.	What did he say?.
bch7al katbi3o?.	How much do you sell it?.
chnou n9der ndir lik?.	What can I do for you?.
kantmnna yf8em.	I hop he understands.
3ndek chi flous?.	Do you have some money?.
ch7al 3ndek f ssa3a?.	What's the time by your watch?.
yakma khaSSak chi 7aja?.	Do you need anything?.
makay3refch ykdeb.	He doesn't know telling a lie.
matkhafch.	Don't worry !.
mabghach.	He doesn't want to.
chouf chouf.	Watch out !.
mat7errekch.	Don't move !.
kayban mtwetter.	He looks nervous.
kayban m3SSeb.	He looks angry.
chnou mouchkiltek?.	What is your problem?.
lli bghiti.	It's uo to you.
sttef lktouba b ttertib.	Put the books in order.
ghadi y3eyyet lik mn be3d.	He will call you later.
chokran 7it 3redti 3lina.	Thank you for inviting us.
wach jay?.	Are you coming?.
ma3ndo 7tta fikra.	He has no idea.
kay7es brasou 3yyan lyoum.	He is feeling tired today.
malou m9elle9?.	Why is he up set?.
n8arek mbrouk.	Good day to you.
tbe3ni.	Follow me.
dir fiyya khir.	Do me a favor.
sir mn 9ddami.	Get out of my sight.
chnou bghiti mnni?.	What do you want from me?.
aji m3aya.	Come with me.
khaSSo ymchi bkri lyoum.	He has to leave early today.
tTebla 9Sira?.	the table is short.
kay7es brasou bikhir lyoum.	He feels much better.
fewwej m3a rask.	Enjoy yourself!.
mnin nta?.	Where are you from?.
f8emt.	I got it.
wach kayd7ek?.	Is he kidding?.
sme7 liyya.	I'm sorry.
koulchi dyalek.	It's all yours.
ma3ndouch lflous.	He had no money.
ttaSel biyya f 2ay n8ar.	Call me anyday.
khaSSo ywSel m3a l khmsa.	He shall reach by 5.
lla mabgha8ch.	No he doesn't want it.
wach moumkin nsewwlek?.	Can I ask you something?.
kayn f ddar.	He is at home.
dghya! bzzerba!.	Hurry up!.
kaydeyy3 liyya we9ti.	He is wasting my time.
chokran 3la nnaSi7a.	Thank you for your advice.
yalla8!.	Come on!.
wach ghadi yji m3ana?.	Is he joining us?.
kayyakhoud lwa9t bzzaf.	It really takes time.
3lach t3eTTel?.	Why is he late?.
wach f8emti?.	Did you get it?.
ma9dertch nteyye9.	I can't believe it.
chnou wa9e3 8na?.	What is happening here?.
kan 3arf.	He knew it.
nchoufek merra khra.	See you next time.
wach saliti?.	Are you done?.
ma3ndich lwe9t.	I don't have time.
wach howwa mzewwej?.	Is he married?.
lli w9e3, w9e3.	What is done is done.
3afak 9ol chi 7aja.	Please say something.
msa lkhir!.	Good afternoon!.
ma9Sedch.	He does not mean it.
dar dakchi li T9al li8.	He did as he was told.
dayer rijim.	He is on a diet.
ch7al kaytsalek?.	How much does he owe you?.
mchghoul.	He is busy.
8ad lkhdma mamnasbach li8.	This work is not suiteble for him.
mazal.	Not yet.
kanbghik.	I love you.
may9derch ytsnna mazal.	He can't wait any longer.
bchwiyya!.	Slow down!.
n8Dro ghedda.	Talk to you tomorrow.
ana kan3tader.	I apologize.
kidayer ljeww?.	What's the weather like?.
ghadi bsor3a.	He is going too fast.
8adi bidaya mzyana.	It's a good beginning.
b9a fiyya l7al mn ji8tek.	I feel sad for you.
btabi3t l7al.	Of course.
t3edda 3liyya.	He abused me.
mnin khditi8?.	Where did you get it?.
chi 7aja khra mazal?.	Anything else?.
sir bchwiyya.	Walk carefully.
mtafe9.	I agree.
sir ila 9derti.	Go if you can.
ja lwe9t.	The time has come.
mamtafe9ch.	He doesn't agree.
wach mt2ekked?.	Are you sure?.
ghriba 8ad l9aDiyya.	It is a strange thing.
sme7li 9ate3tek.	I'm sorry to intrupt you.
wach ghadi tmchi ltma?.	Will you go there?.
wach moumkin tzid f SSout.	Can you turn the volume up?.
chnou ban lik?.	What do you think ?.
fin ghadi howwa?.	Where is he going?.
matb9ach tbki.	Stop crying.
dir dakchi li kan9ol.	Do as I say.
3ndo bzzaf may3awed.	He has a lot to talk about.
chnou ljadid.	What's new?.
ma3ndi man9ol.	Can't complain.
kan mchghoul.	He has been busy.
wach bghiti tchreb chi 7aja?.	Would you like a drink?.
mazal mawajedch.	He is not ready yet.
ghadi ykhlleS.	He will pay.
kidayer m3a lkhdma?.	How is work going?.
8adi 2a9all 7aja ndir8a.	It was the least I could do.
8owwa nnour dyal 7yati.	He is the light of my life.
ghadi yakhdou.	He will take it.
mabghach yberzTek.	He doesn't want to bother you.
machi mouchkil.	No problem.
8owwa koulchi bnnesba liyya.	He is everything to me.
8owwa mTelle9.	He is divorced.
fi8 l3Tech.	He is thirsty.
8owwa briTani.	He is an american.
fih lmout d jjou3.	He is starving.
twe77cht DDe7ka dyalk .	I miss your laugh.
ma3ndouch lwe9t daba.	He doesn't have time now.
kayDerro raSou.	He has a headache.
wach momkin t3awed chno 9olti?.	Can you please repeat that?.
ch7al nnemra dyalk?.	What is your phone number?.
chno bghiti ddir?.	What do you want to do?.
ghir nsa.	Forget it.
3awed 3eyyeT liyya.	Call me back.
fo9ach ghadi twSel?.	When will you reach?.
3Tini n8ar wa7ed.	Give me a day.
skout.	Shut up.
te7ti fbali.	You crossed my mind.
howwa f chchinwa.	he is in China.
makay3jbnich.	I don't like him.
jibou m3ak!.	Bring it!.
kaychreb lma.	He is drinking water.
fi9!.	Wake up!.
7awel mrra khra.	Try again.
swwelni.	Ask me.
nod.	Get up.
ch3el DDo.	Turn on the light.
l7ayawanat kay3ichou f lghaba.	Animals inhabit the forest.
l7ayawanat lbarriya kat3ich f l adghal.	Wild animals live in the jungle.
lfar 7ayawan Sghir.	The mouse is a small animal.
bzzaf d l7ayawanat lbarriya kat3ich f 2ifri9ya.	Many of wild animals live in Africa.
2asra3 7ayawan 8owwa lfa8d.	The fastest animal is known as the cheetah.
kay3jboni l7ayawanat b7al l9ToT o lklab.	I like animals for example cats and dogs.
2akbar 7ayawan f l3alam 8wa l7out l2azra9.	The largest animal in the world is the blue whale.
lbegra kat3Tina l 7lib.	Cow gives us milk.
makhSSekch t2adi l7ayawanat.	You should not hurt animals.
kheSSna nt8llaw fi8oum.	we should take care of them.
7ayawanat 2alifa.	Domestic animals.
kay3Tiwna ll7em, nna9l,o rrof9a.	They give us meat, transportation and companion.
kanwffro li8oum l7imaya o lma2wa.	we give them protection and shelter.
lkelb wafiyy.	The dog is loyal.
l7ayawanat l2alifa kat3ich m3a l2insan.	Domestic animals co-exist with humans.
machi b7al l7ayawanat lbarriya.	unlike wild animals.
wach ghadi tchwi ddjaj.	Are you going to roast the chicken?.
dir Trifat dyal ddjaj f kasrona.	Put the chicken pieces in the casserole.
chrmel ssder dyal ddjaj.	Marinade the chicken breasts.
makay3jbouch jjna7 dyal ddjaj.	He doesn't like the chicken wings.
kayna ri7t ddjaj m9li.	There is a smell of fried chicken.
sayeb sondwich dyal ddjaj.	He made a chicken sandwich.
lmchichat kaybghiw yl3bou.	Cats love to play.
jjmel kay3ich f SSe7ra.	Camel lives in deserts.
jjmel 3ndo fem kbir.	a camel has thick mouth.
kaytne99lou f mjmou3at.	They move in packs.
9tel l7ench.	He killed the snake.
kan mkhlou3 mn l7ench.	He was frightened by the snake.
3DDo 7ench msmoum.	He was bitten by a poisonous snake.
l3awd 8owwa 2a7san 7ayawan 3ndi.	The horse is my favorite animal.
l3awd 7ayawn ra9i.	The horse is a majestic animal.
l3wdan kay3ichou f lkouri.	Horses live in a stable.
lfaracha 7achara Sghira.	The butterfly is a small insect.
lfarachat kay9dro yTiro.	butterflies can fly.
l9niyya 3nd8a snan maDyin.	Rabbit has sharp teeth.
l9niyyat kayne9zzo mn blaSa l blaSa.	Rabbits hop from place to place.
ssbe3 m3rouf b malik lghaba.	The lion is known as the king of the jungle.
lbeT 7tta 8owwa kaybeyyed b7al djaj.	Ducks also lay eggs like chicken.
ja rakeb fo9 l7mar.	He came riding on a donkey.
2amad l7ayat dyal ssinjab bin telt ssnin o tmenyat ssnin.	The lifespan of a squirrel is about 3 to 8 yeas.
nnmer 7ayawan moutawa77ich.	Tiger is a wild animal.
zZarafa makat9derch T3oum.	Giraffe can not swim.
ddoub 3ndo Dfran s7a7 o maDyin.	Bear has strong and sharp nails.
lghorilla 3nd8a jjb8a kbira.	Gorilla has a massive forhead.
lppanDa mekhlou9 7chchoumi.	The panda is a shy creature.
lppanda daba wllat 7ayawan nadir.	The panda is now a rare animal.
8ada jjeld dyal ttimsa7 79i9i.	It's a real crocodile skin.
wa7ed jjrana khrjat mn lma.	A frog came out of the water.
l7ench SreT jrana.	The snake swollowed a frog.
khle3ni ddib.	The wolf scared me.
l9irch 7ayawan ma2i.	The shark is an aquatic animal.
dayer b7al chi t3leb.	He is like a fox.
8ad ddar kbira.	That house is big.
3ndo ddar dyalo.	He has a house of his own.
8ad ddar khaS8a tteSbegh.	This house need painting.
sbegh ddar b lkhDer.	He painted the house in green.
8ad ddar fi8a 7dacher bit.	This house has eleven rooms.
fi8a jouj TwaliTat.	It has tow bathrooms.
fi8a jouj 7mmamat.	It has tow bathrooms.
sme3t blli ba3 Daro.	I heared that he solde his house.
daro mab3idach bzzaf mn 8na.	His house is not far from here.
kay3ich f8ad DDar bou7dou.	He lives in this house by himself.
kay9oulo blli 8ad DDar mskouna.	The house is said to be haunted.
3afak tsnna 3la berra.	Please wait out side.
lbab me9foul.	The door is locked.
mab9itch kanfkker nchri Dar.	I've given up on the idea of buying a house.
staslem.	He gives up.
kayna ma7aTTa dyal TTobis 9riba l pparTma.	There is a bus stop near the appartement.
fina8owwa lmaryou.	Where is the cupboard.
fina8owwa lpplakar.	Where is the cupboard.
sbegh lkouzina b SSfer.	He painted the kitchen in yellow.
3afak sedd ddar.	Please close the house.
mtekki 3la lfotouy.	He is laying on the sofa.
khaSSa8 mkhedda.	He needs a pillow.
khasa8 manTa.	He needs a blanket.
kaychreb l9e8wa f lbalkon.	He is drinking coffe in the balcony.
3ndo lakav.	He has a basement.
gales 3la lkoursi.	He is sitting on the chair.
lavabo mmoussekh.	The sink is dirty.
lburou mrewwen.	The desk is messy.
la glaS kayn f lfrigo.	The icecream is in the freezer.
khlla TTomobil f lgaraj.	He left the car in the garage.
ttelfaza khasra.	The television is not working.
ttelfaza makhddamach.	The television is not working.
ttilifoun kaySouni.	The phone is ringing.
nari! l7iT kayt7errek.	OMG! the wall is moving.
mazal makhdit lkhwami.	I didn't get curtains yet.
tTbla mSawba mn lkhcheb.	The table is made of wood.
ttriyya zwina.	It's a beautiful chandelier.
ttllaja khawya.	The fridge is empty.
lmraya m8errsa.	The mirror is broken.
maghselch lmma3en.	He didn't do the dishes.
ch3el m3ak llamba.	Turn on the lamp.
bghit nchreb kas dyal atay.	I would like to drink a cup of tea.
maSebbench l7wayj.	He didn't do the laundry.
lmakina dSSaboun makhddamach.	The washing machine is not working.
dwez n8ar kaml flb7er.	He spent the entire day at the beach.
wach kay3jbek tmchcha 7da lb7er?.	Do you enjoy walking on the beach?.
kay3jbni nchouf ghouroub chchams.	I love watching sunsets.
kansken 7da lb7er.	I live near the sea.
kay3jbni SSouT dyal lmmaj.	I love the waves sound.
mcha lb7er.	He went to the beach.
yalla8 nmchiw lb7er.	Let's go to the beach.
khda chi kokiyyajat.	He picked up some shells.
kay3jbni njme3 lkokiyyaj.	I love collecting shells.
wach 8ad TTobis kaymchi lb7er.	Does this bus go to the beach?.
darna m9abla m3a lb7er.	Our house faces the beach.
mcha 3am f lb7er.	He went swiming at the beach.
tchemmecht f lb7er.	I tanned myself at the beach.
kanfeDDel lb7er 3la lappisin.	I prefer the beach than the pool.
rRemla kant biDa.	The sand was white.
ssimana jjayya.	next week.
ssimana li dazet.	Last week.
ssimana li fatet.	Last week.
lbare7 mchit l laSal.	Yesterday I went to the gym.
3ndi mti7an ghdda.	I have exam tomorrow.
wach msali ssebt jjay?.	Are you available next Saturday?.
ana mchghoul jjm3a jjayya.	I'm busy next Friday.
ma3ndich m3a n8ar ttnin.	I hate Mondays.
ana mSafer n8ar ttlat.	I'm traveling on Tuesday.
ghandir 3amaliyya n8ar lkhmis.	I'm having an operation next Thursday.
lmgharba kayaklou ksksou koul jm3a.	Moroccans eat couscous every Friday.
n8ar l7edd 8owwa rroppo dyali.	Sunday is my off day.
mcha l ssinima larbe3 lli fat.	He went to the cinema last Wednesday.
ch8er li daz.	Last month.
ch8er li fat.	Last month.
ghadi ntkherrej l3am jjay.	I'm graduating next year.
kherj mn lkhdma.	He quit the job.
kanbghi khdemti.	I love my job.
kay9elleb 3la khdma.	He is looking for a job.
khaSni nmchi lkhedma.	I have to go to work.
3yyit mn khdemti.	I am tired of my work.
mat3eTTelch 3la lkhdma.	Don't be late for work.
mrekkez m3a khdmtou.	He is concentrated with his work.
fo9ach saliti lkhdma?.	When did you finish the work?.
imta saliti lkhdma?.	When did you finish the work?.
ana m7taj lkhdma.	I need a job.
mal9ach khdma.	He can't find a job.
3lach khrej mn lkhdma?.	Why did he quit the job?.
8adchchi 3lach khrejt mn lkhdma.	This is why I quit the job.
wach lkhdma ktira 3lik?.	Is the job too much for you?.
ana mou7ami.	I'am a lawyer.
8owwa mouterjim.	He is a translator.
bghit nkoun ppiloT.	I want to be a pilot.
ssrbay jab lina lmenu.	The waiter brought us the menu.
bba8a trisyan.	Her father is an electrician.
8iyya Taliba jami3iyya.	She's a university student.
lkwaffour dyali 7ell saloun jdid.	My hairdresser has opened a new salon.
wach bSSe7 bghiti tkouni kwaffoura?.	Do you really want to be a hairdresser?.
ana Sa7afi.	I'm a journalsit.
8ada lmouSwwir dyali.	This is my cameraman.
khaSna n3eyyTo lplombi.	We had to call a plumber.
3lach?.	Why?.
bach yserre7 l9wades.	To unblock the drains.
8owwa Tbbakh wa3er.	He is a good chef.
khti 3ariDat 2azya2.	My sister is a model.
kheddmat mo799i9 khaS.	She hired a private detective.
makanchoufch raSi rabbat bayt.	I don't see myself as a housewife.
8iyya 2akfas moughnniya 3rft8a.	She is the worst singer I know.
8iyya 2a7san moughnniya 3ndi.	She is my favorite singer.
8owwa tkherrej mou8ndis.	He graduated as an engineer.
khddem jardinyi jdid.	He employs a new gardener.
lflla7 semmem TTobbat.	The farmer poisoned the rats.
moul lwerd Sawb wa7d lbouki zwin .	The florist made up an attractive bouquet.
bghitek tkouni mrati.	I want you to be my wife.
bghitek tkoun rajli.	I want you to be my husband.
kanbghi nkhrej ntsara.	I love to hang out.
kanbghi nTeyyB.	I love to cook.
lml7a Daroriyya f TTyab.	Salt is crucial for cooking.
matskhkhench zzit bzzaf.	Don't overheat the oil.
chnou 3endek 8ad l3chiyya?.	What do you have this afternoon?.
fwe9t lfaragh dyal8a kat9ra ktouba dyal TTabkh.	In her free time she read books on cooking.
chnou 8iyya 2a7san Tari9a dyal Tyab dl7em.	What's the best method for cooking beef?.
mama 3nd8a boTa dyal lgaz.	My mom has a gas stove.
tTyab 8owwa l8iwaya dyalo.	Cooking is his hobby.
wejjed laSoS.	Prepare the sauce.
lippaT 9rib ykounou wajdin.	The pasta is almost ready.
makay3jbekch Tyabi.	You don't like my cooking.
kat3jbni lmakla l7louwwa.	I like sweet food.
ma3ndich m3a lmakla l7arra.	I don't like spicy food.
dwa kan lmada9 dyalo merr.	The medicine had a bitter taste.
8ad tffa7a 7amDa nit.	This apple is really sour.
l7lib wla 7ameD.	The milk has turned sour.
ddisir kan 7ameD bzzaf.	The fruit was too sour.
sSobba 7maDet.	The soup has gone sour.
sskhouniya rDDat l7lib 7ameD.	The heat turned the milk sour.
3Ta8a lma male7.	He gave her salty water.
bach ykhlliw8a tt9iyya.	To make her vomit.
lmakla lmal7a katjib l3Tech.	Salty food makes one thirsty.
ma3ndich khibra f TTyab bzzaf.	I do not have much cooking experience.
wach kaTeyyeb l3cha?.	Are you cooking supper?.
3ndou bernamaj dyal TTabkh.	He has a cooking show.
twe77echt Tyab8A.	I miss her cooking.
wach matwe77echtich lmakla dyal ddar.	Don't you miss home cooking?.
ghadi ntwe77ech Tyabek.	I will miss your cooking.
twe77echt Tyab dyal mama.	I miss my mom's cooking.
8owwa 3awn mama8 fTTyab.	He aided his mom in cooking.
bentou makat3refch TTeyeb.	His daughter is bad at cooking.
ana kanTeyyeb daba.	I am cooking now.
khti kaTTeyeb f lkouzina.	My sister is cooking in the kitchen.
8owwa mamwellefch yTeyyeb.	He isn't used to cooking.
ma3ndich 8timam b TTyab.	I don't have much interest in cooking.
ri7t TTyab katjib liyya jjou3.	The smell of cooking makes me hungry.
8owwa mwelf yTeyyeb.	She is used to cooking.
sme3T bli 3ndek m3a TTyab.	I hear you are good at cooking.
tTyab kayyakhod lwe9t bzzaf.	Cooking takes too much time.
khaSni nmchi nTeyyeb l3cha.	I have to go and cook dinner.
wach tghedditi?.	Did you have lunch?.
dima kannakhoud lbiD mslou9 f lfTour.	I always have boiled egg for breakfast.
wach saliti fTorek?.	Have you finished your breakfast?.
wach kemmelti fTorek?.	Have you finished your breakfast?.
8owwa 7emmer lkhobz.	He toasted bread.
f lfTour, kanchreb kas dyal 3assir dllimoun.	For breakfast, I have a glass of orange juice.
kas dyal l7lib bared.	A cup of cold milk.
kas dyal l7lib skhoun.	A cup of hot milk.
kas dyal l7lib b chchklaT.	A cup of hot chocolate.
kay3jbni l fermaj.	I like cheese.
dima kansta3mel zzebda f TTyab.	I always use butter in cooking.
kat3jbni krwaSSa 3la lkhoubz.	I prefer croisant than bread.
kannakhoud ghir Danoun fl3cha.	I only have yougurt at dinner.
kla 9r3a kamla dyal lkofitir.	He ate a whole pot of jam.
l3sel mzyan lik.	Honey is good for you.
bghit nakhoud chi 7aja khfifa.	I want to have a snack.
dert kika dyal chchklaT .	I made a chocolate cake.
sawwebt kika dyal chchklaT.	I made a chocolate cake.
8owwa tghedda flmDraSa.	He has lunch at school.
fiyya lmout dyal jjou3.	I'm starving.
chbe3t.	I'm full.
yalla8 ntgheddaw !.	Let's have lunch !.
kayjini nn3as mn be3d lghda.	I feel drowsy after lunch.
tgheddit bzzerba.	I quickly ate lunch.
wach n9der ntghdda 8na?.	Can I eat my lunch here?.
yalla8 tghddit.	I have have just eaten lunch.
wach tghedditi?.	Have you eaten lunch?.
wach 39elti?.	Did you remember?.
wach ntgheddaw mjmou3in?.	Can we lunch together?.
yalla8 ! ghadi nchri lik lghda.	Come on! I'll buy you lunch.
kber f3a2ila labas 3li8a.	He grew up in a healthy family.
3nd8a wje8 zwin .	She had beautiful face.
t9abel m3a l7iT.	Face the wall.
w9ef.	Stand up!.
gles!.	sit down!.
sir ten3es.	Go to sleep.
7bes dde7k.	Stop laughing.
wach jak l3Tech?.	Are you thirsty?.
wach man3estich mzyan lbare7?.	Haven't you slept well yesterday?.
wj8ou kan mazal Sfer.	His face was still pale.
ghTTa wj8ou w bka.	He covered his face and wept.
matbkich.	Don't cry.
ana m3ak.	I'm with you.
3ndi ch3er mkrippi.	I have curly hair.
3ndo ch3er rTeb.	he has straight her.
3ndo ch3er K7el.	He has black hair.
ch3ro byeD.	He has white hair.
